Name;ToName
coolddown;schłodzenie, czas odnowienia
planter;doniczka, doniczek, sadzonka
decoy;wabik, przynęta
recall;odwołać, przywołać, pamiętać
gastronomy;gastronomia
tackle;rozwiązać, sprzęt, materiały, podjąć się
diversity;różnorodność, różnica
treatment;leczenie, traktowanie, odczynianie
landlord;właściciel, wynajmujący
dormant;uśpiony, nieaktywny
within;wewnątrz, w, w obrębie
strive;dążyć, starać się
creep;pełzać, wpełzać, obrzydliwiec
indempotency;idempotencja
awkwardly;niezdarnie, niezgrabnie
take on;przyjmować, podjąć się, zatrudnić, przejąć, nakładać się
nonassault;nieagresja, brak napadu
heptoic;hepatyczny
snorkling;snorkeling, nurkowanie z rurką
sendimenting;sedimentacja
off grid quesiton;pytanie, pytanie o, pytanie dotyczące
inrelevant;nieistotny, bez znaczenia
biggy;ważny temat, coś ważnego
churning;mieszanie, wir, fermentacja
despice;pogardzać, lekceważyć
vivid;żywy, wyrazisty, jaskrawy
snoops;szpieg, ciekawski
temptation;pokusa, pokuszenie
toddler;dziecko, maluch
wax;wosk, woskować
abetting;pomaganie, wspieranie
popping cars;samochody, auta
gorgeous;olśniewający, wspaniały, cudowny
authority;autorytet, władza
airstrip;pas startowy, lotnisko
trailer;przyczepa, zapowiedź, naczepa
tarpoint point;punkt, punktacja
moisture;wilgoć, wilgotność
warped;zniekształcony, zwichrowany, skrzywiony
discrepancies;rozbieżności, niezgodności
foster parents;rodzice zastępczy, opiekunowie zastępczy
mercenary;najemnik, zarobkowiec
dope;narkotyk, głupiec
beaver;bóbr
kook;głupek, dziwak
hideous;okropny, brzydki
Tranquil;Spokojny, cichy
tidy;porządny, schludny, uprzątnięty
vapes;e-papierosy, vaporyzatory
intimidating;intymidujący, zastraszający
endure;znosić, wytrzymać, przetrwać
gull;mewa
wistful;smutny, tęskny
drizzle;mżawka, deszcz
solitary;samotny, samotniczy
diameter;średnica
forgetfull;zapominalny, roztargniony
robe;szlafrok, szata
deceased;zmarły, nieżyjący
buster;rozbójnik, demolka, tłumik
tedious;nudny, żmudny
quantile;kwantyl, kwantyla
whiskers;wąsy, wąsik
homoscedastic;homoskedastyczny
magnitude;wielkość, skala
acquisition;przejęcie, nabycie
volatility;zmienność, zmienność
Compounding Period;Okres kapitalizacji
coup;przewrót, zamach
unfolding;rozwijanie, odsłanianie, rozwijający się
cosine;cosinus
relevance;istotność, aktualność
rectified;naprawiony, skorygowany, wyprostowany
wraith;widmo, zjawa
accuser;oskarżyciel, oskarżyciele
chase out;wypędzić, wygonić
ascend;wznosić się, wchodzić
liberate;wyzwolić, uwolnić
kernel;jądro, ziarno
itensity;intensywność, natężenie
mean;złośliwy, podły, średni, znaczyć
thick;gęsty, gruby
fat;tłuszcz, grubość
ledger;księga, rejestr
reinforcement;wzmocnienie, wzmocniki
jug;dzban, konewka
deafened;osłabiony słuch, obciążony słuchowo
Proprietary;Własnościowy, zastrzeżony
porch;weranda, ganek
overlapped;nakładał się, nakładają się
backlash;reakcja, sprzeciw, odwet
hollowed;wydrążony, wklęsły
disguised as;udawany jako, przebrany za
Errand;Eran, sprawa, zadanie
skirt;spódnica
thong;string, pasówka
penalty;kara, rzut wolny
raccoon;szop
effigies;efigie, wizerunki
breed;rasa, hodować, rozmnażać
haze;mgła, zamglenie
Epiphany;Objawienie, olśnienie
parsnip;pasternak
Fertilizer;Nawoz, nawóz
scarecrow;strach na wróble, słoma
strawberry;truskawka
fertilizer;nawoz, nawóz
maple;klon
ambiguity;niejednoznaczność, dwuznaczność
Confidentiality;Poufność, poufność
lanyard;smycz, breloczek, sznurek
mitigate;łagodzić, zmniejszać
threads;nitki, wątki
suspenders;spodnie, sześcien
jew;Żyd
insult;obraza, zniewaga
desolation;pustka, zniszczenie, opustoszenie
extinction;wymieranie, zagłada
comprehensive;kompleksowy, obszerny
wondering;zastanawianie się, zdziwienie
debris field;pole szczątków, pole gruzu
reproduce-able;odtworzalny, powtarzalny
swanky;elegancki, wystawny
viable;życiowy, wykonalny, realny
revenue;przychód, dochód
denotes;oznacza, wskazuje
cumbersome;nieporęczny, uciążliwy
underlying array;tablica, macierz, podstawa
revolves;kręci się, obraca się
resourcefulness;pomysłowość, zaradność, spryt
forensics;kryminalistyka, kryminalistyka policyjna
protagonist;bohater, główny bohater
antakonist;antagonista
waste;marnować, odpady, śmieci, bezużyteczny
garbage;śmieci, odpadki
savage;dziki, nieokiełznany, barbarzyński
power surge;skok napięcia, przepięcie
rustling;szelest, szmer
dresser;komoda, toaletka
stain;plama, zabarwienie
melamine foam;pianka melaminowa
oxidized;utleniony, zardzewiały
ceramic coading;ceramika, powłoka ceramiczna
tinted;barwiony, odcieniowy
junkyard;złomowisko, składnica złomu
wastegate;zawór upustowy, zawór sterujący ciśnieniem
squeaking;piszczenie, skrzypienie
astral;astralny, astralny
fasilitation;ułatwianie, wspieranie
lead;ołów, prowadzić
retaliatory;odwetowy, represalny
Front Gate Transit;Brama, Wejście, Przejazd
shrimp;krewetka
sustained;utrzymany, podtrzymany, zrównoważony
insist;insistować, nalegać
gullible;naiwny, łatwowierny
proprietory;własnościowy, zastrzeżony
outrank;być wyżej w hierarchii, przewyższać rangą
hyphens;myślniki
chafing;podrażnienie, otarcia
core;jądro, rdzeń, sedno
magyar;Węgier, węgierski
pinnacle;szczyt, apogeum
marshal;marszałek, marszall
council;rada, zgromadzenie
to solder;lutować
data;dane, data
relevancy;istotność, aktualność
unraveling;rozplątywanie, rozwiązywanie, odsłanianie, dekonstrukcja
retain;zatrzymać, utrzymywać, zachować
modest;skromny, umiarkowany
whenever;kiedykolwiek, zawsze, za każdym razem
Ruthless;Bezwzględny, okrutny
particular;konkretny, szczególny
touchnes;dotyk, czułość
resilence;odporność, wytrzymałość
manifold;kolektor, różnorodny, wielorakie
bane;zgryzota, trucizna, przekleństwo
wrath whisper;gniew, furia, szept
limb;kończyna, gałąź
coil;cewka, cewka, zwój
soaked;moczony, nasączony, przemoczony
dephaser pulley;rolka, koło pasowe
treason;zdradą, zdrada
retribution;odwet, kara, odpłata
crowded;zatłoczony, tłoczny
feasible;możliwy, wykonalny
survilance;nadzór, obserwacja
no time for caution;brak czasu na ostrożność, brak czasu na rozwagi
maim;kaleczyć, okaleczyć
scaffolding;rusztowanie
wardrobe;garderoba, szafa
clutter;bałagan, śmieci, graty
retrofitting;modernizacja, adaptacja
deceptive;zwodniczy, oszukańczy
mark;znak, odznaka, ocena
concise over chatty;zwięzły, lakoniczny
Timelessness;Wieczność, ponadczasowość
sleek;elegancki, gładki, aerodynamiczny
witty;dowcipny, błyskotliwy
catchy;chwytliwy, zapadający w pamięć
grid;siatka, kratka, siatka energetyczna
beer;piwo
nuisance;uciążliwość, uciążliwy, dokuczliwość, dokuczliwy
hoves;kopyta
oath;przysięga, przysięga przysiężna
fag;papieros, gej
footage;materiał filmowy, nagranie
choke;duszenie, dławić, gardło
latitude;szerokość geograficzna
sadle;siodło
maiden;dziewica, panna
thaw;odmrażać, rozmrażać, topnieć
study;studia, badania, praca, pokój, egzamin
pat;łata, pat
curb;ograniczać, obrzeże
defuse;rozładować, rozbroić
gunslinger;strzelec, bandyta
satchel;torba, sakwa
heritage;dziedzictwo, spuścizna
sunken;zanurzony, zatopiony
chompers;zęby, ząbki
gilded;pozłacany, złocony
gummer;guma, żwaczek
freckles;piegi, plamki
nosy;ciekawski, wścibski
pinpricked;pokłuty, nakłuty
moles;krzewy, nornice, znamiona
whistle;gwizdek, gwizd
crook;łuk, oszust, złodziej
hostility;wrogość, nieprzyjaźń
swagger;przechadzanie się, przechwalanie się, arogancja, przechwalanie się
snappy;żywy, zwięzły, ostre, złośliwy
antagonize;irytować, antagonizować
casual;swobodny, nieformalny, przypadkowy
butt;pośladek, tyłek, zapalniczka
various;różne, zróżnicowane
stutter;jąkanie, jąkać się
Dilution;Rozcieńczenie, rozwadnianie
engage;angażować, zaangażować, wciągać, zaangażować, zatrudnić
harsh;surowy, ostry, szorstki
buttocks;pośladki, tyłek
daunting;budzący strach, przerażający, zniechęcający
overly burdensome;nadmiernie obciążający, uciążliwy
Quest Variety;Zadanie, misja, poszukiwanie, różnorodność
gauntlet;rękawica, wyzwanie
vendor stalls;stragany, stoiska handlowe
annoying;irytujący, denerwujący
cranked up;zwiększony, podkręcony
assessment;ocena, ocena, analiza
embracing;obejmowanie, przytulanie
sidewalk;trotuar, chodnik
considerations;rozważania, względy
ambush;zaszka, zasadzka
lamppost;latarnia, słup oświetleniowy
parkinglot;parking, parkingowy
lenient;łagodny, pobłażliwy
odd;dziwny, nieparzysty
aisles;korytarze, alejki
brisk;świeży, energiczny, rześki
counterproductive;nierezultatywny, szkodliwy
attempt;próba, podjęcie
tram;tramwaj, tramwaj
road worker;robotnik, pracownik drogi
salvation;zbawienie, ocalenie
shimmy;drżeć, trząść się, podkradać
hands on hips standing boldly;dłonie na biodrach, postawa stanowcza
glutton;obżartuch, łakomycz
rehearse;ćwiczyć, powtarzać
embarrassment factor;czynnik wstydu, czynnik zakłopotania
neck lanyard;smycz, smyczka
mix up;mieszanka, pomieszać, zdezorientować
bailout;pomoc finansowa, ratunek
fumble;zgubić, potknąć się, niezdarność
get kicked out;wyrzucić, usunąć, usunąć z systemu
unbound;nienakładany, nieprzymocowany, nieograniczony, wolny
warfare;wojna, działania wojenne
lether;skóra, skóra (materiał)
circulation;ruch, obiegu, cyrkulacja
sweat;pot, spocenie
fidget;bawić się, wiercić się, nerwowo poruszać
penut;orzeszek ziemny
genuinely;szczerze, autentycznie
retroactively;z powrotem, wstecz, z datą wsteczną
high heels;szpilki, buty na wysokim obcasie
corset;gorset
central aisles;ścieżki, alejki, korytarze
attentive;uważny, dokładny
curious;ciekawy, ciekawski
hosiery;rajstopy, pończochy
at last;wreszcie, nareszcie
brainless;bezmyślny, głupi
cut;cięcie, kroj, zrzucić, odciąć
inflating;napompowywanie, pompowanie
loitering;bezcelowe przemieszczanie się, przesiadywanie, włóczęgostwo
numbing;znieczulający, otępiający
vague;niejasny, mglisty
excessive;nadmierny, przesadny
ordeal;próba, trudność, doświadczenie
reveal;ujawnić, odkryć, zdradzić
admit;przyjąć, zezwolić, przyznać, dopuścić
calves;łydki, cielęta
stare;stary, wpatrywać się, patrzeć
captive;uwięziony, jeńczyk
gaze;spojrzenie, wpatrywać się
leaning;opieranie się, nachylenie
appeal;apel, odwołanie, apelacja
marvelous;wspaniały, cudowny, wspaniały
passerby;przechodzień, przechodzieńka
major;ważny, główny, kierunek, oficer
tisk;ciśnienie, druk
wont;zwyczaj, upodobanie, wola
caveat;ostrzeżenie, zastrzeżenie
Anti-rehearsal rule;Zasada zakazująca prób, zakaz prób.
penalize;karać, nakładać karę
liberating;wyzwalający, uwalniający
Leniency;ulgę, łagodność, pobłażanie
coops;kurniki, kurniki, klatki
lodgings;zakwaterowanie, nocleg
praise;pochwała, chwalić
scold;karcić, krytykować
inhabited;zamieszkany, zamieszkały
pronghorn;antylopa amerykańska
moonshiner;przemycacz, nielegalny producent alkoholu
extensive;rozległy, obszerny, rozbudowany, obszerny
mash;rozgniatać, tłuc, papka
intent;intencja, zamiar, wola
idempotency;idempotencja
optocoupler;fotopara, fototranzystor, fotodiode
compliance;zgodność, przestrzeganie
snowfall;śnieg, opady śniegu
rainfall;opady, deszcz
comply;zgodzić się, przestrzegać
flippers;płetwy, płetwonurki
buckle;klamra, klamerka
dare;ryzykować, śmiać się, wyzwanie
lunges;przysiady, wykroki
overhelm;przemóc, przytłoczyć
wobble;chwiej, drgać, kołysać się
burden;obciążenie, ciężar, brzemię
opaque;nieprzezroczysty, matowy
naunced question;subtelne pytanie, delikatne pytanie
compaling;intrygujący, fascynujący, porywający
unintentionally;nieumyślnie, niezamierzenie
marmot;świstak
distinguish;odróżniać, wyróżniać
trailing whitespace;białe znaki na końcu, białe spacje na końcu
consense;zgoda, konsensus
This project is proprietary;Prywatny, zastrzeżony
capabilities;możliwości, zdolności
assumption;założenie, przypuszczenie
roundabout;rondo, krążówka
inncommon;niezwykły, nietypowy
pile;stos, kopiec, dywan, gruba warstwa
weist;wie, wskazuje
never larp again;nigdy więcej, nigdy więcej LARP-ów
banger;petarda, hit, bomba
very daunting;przytłaczający, zastraszający
overstay;przekroczyć, przebywać dłużej
coma;śpiączka, coma
phrazes;frazy
hollow;pusty, wgłębienie
fungus;grzyb, pleśń
lupus;wilk, lupus
flicking;mruganie, miganie
I made tiny fix for user related stuff;Naprawiłem, poprawka
scoffs;wyśmiewa, kpi, odrzuca
sights;zabytki, widoki
optimizations;optymalizacje
Aggregator;Agregator, agregator
malform;deformacja, zniekształcenie
discrepancy;rozbieżność, niezgodność
discrepancie;rozbieżność, niezgodność
meet;spotkanie, spotykać się, zderzać się
met;spotkał się, spotkała się, spotkało się
later on;później, później
later;później, później
gardening;ogrodnictwo, ogrodzenie
streamline;uprościć, usprawnić
wage;wynagrodzenie, płaca
chrun;chrupieć, chrupanie
arbitrary;arbitralny, dowolny
prior nitice;powiadomienie, wcześniejsze powiadomienie
labor law;prawo pracy
layoff;zwolnienie, redukcja zatrudnienia
mitigation;łagodzenie, minimalizacja
laps;okrążenia, laps
Adhere;Przylegać, trzymać się, przestrzegać
Squishier;miększy, bardziej miękki
commence;rozpocząć, zacząć
fasting;post, głodówka
bracket;nawias, nawias kwadratowy
draw;rysować, losować, ciągnąć, szkicować
august;sierpień, augustowski
summit;szczyt, konferencja szczytowa
billions;miliardy, biliony
refrain;refren, powstrzymać się, unikać
nomad;włóczęga, koczownik
weavers;tkacze
visual;wizualny, wizyjny
vision;wizja, widzenie, wzrok
dashboard;deska rozdzielcza, pulpit, panel sterowania
rigidity;sztywność, sztywnienie
crucial;kluczowy, zasadniczy
cognito;poznanie, świadomość
bypass;ominięcie, obejście, omijanie
foldable;składany, zginany
contrary;sprzeczny, przeciwny
